Timestamp start (Europe/Brussels),Timestamp end (Europe/Brussels),Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh),dtbe,dtutc
01/01/2024 17:30,01/01/2024 17:45,86.05,2024-01-01 17:30:00+01:00,2024-01-01 16:30:00+00:00
01/01/2024 17:45,01/01/2024 18:00,86.05,2024-01-01 17:45:00+01:00,2024-01-01 16:45:00+00:00
01/01/2024 18:00,01/01/2024 18:15,97.19,2024-01-01 18:00:00+01:00,2024-01-01 17:00:00+00:00
01/01/2024 18:15,01/01/2024 18:30,97.19,2024-01-01 18:15:00+01:00,2024-01-01 17:15:00+00:00
01/01/2024 18:30,01/01/2024 18:45,97.19,2024-01-01 18:30:00+01:00,2024-01-01 17:30:00+00:00
01/01/2024 18:45,01/01/2024 19:00,97.19,2024-01-01 18:45:00+01:00,2024-01-01 17:45:00+00:00
01/01/2024 19:00,01/01/2024 19:15,97.65,2024-01-01 19:00:00+01:00,2024-01-01 18:00:00+00:00
01/01/2024 19:15,01/01/2024 19:30,97.65,2024-01-01 19:15:00+01:00,2024-01-01 18:15:00+00:00
01/01/2024 19:30,01/01/2024 19:45,97.65,2024-01-01 19:30:00+01:00,2024-01-01 18:30:00+00:00
01/01/2024 19:45,01/01/2024 20:00,97.65,2024-01-01 19:45:00+01:00,2024-01-01 18:45:00+00:00
01/01/2024 20:00,01/01/2024 20:15,91.47,2024-01-01 20:00:00+01:00,2024-01-01 19:00:00+00:00
01/01/2024 20:15,01/01/2024 20:30,91.47,2024-01-01 20:15:00+01:00,2024-01-01 19:15:00+00:00
01/01/2024 20:30,01/01/2024 20:45,91.47,2024-01-01 20:30:00+01:00,2024-01-01 19:30:00+00:00
01/01/2024 20:45,01/01/2024 21:00,91.47,2024-01-01 20:45:00+01:00,2024-01-01 19:45:00+00:00
01/01/2024 21:00,01/01/2024 21:15,79.64,2024-01-01 21:00:00+01:00,2024-01-01 20:00:00+00:00
01/01/2024 21:15,01/01/2024 21:30,79.64,2024-01-01 21:15:00+01:00,2024-01-01 20:15:00+00:00
01/01/2024 21:30,01/01/2024 21:45,79.64,2024-01-01 21:30:00+01:00,2024-01-01 20:30:00+00:00
01/01/2024 21:45,01/01/2024 22:00,79.64,2024-01-01 21:45:00+01:00,2024-01-01 20:45:00+00:00
01/01/2024 22:00,01/01/2024 22:15,72.53,2024-01-01 22:00:00+01:00,2024-01-01 21:00:00+00:00
01/01/2024 22:15,01/01/2024 22:30,72.53,2024-01-01 22:15:00+01:00,2024-01-01 21:15:00+00:00
01/01/2024 22:30,01/01/2024 22:45,72.53,2024-01-01 22:30:00+01:00,2024-01-01 21:30:00+00:00
01/01/2024 22:45,01/01/2024 23:00,72.53,2024-01-01 22:45:00+01:00,2024-01-01 21:45:00+00:00
01/01/2024 23:00,01/01/2024 23:15,62.29,2024-01-01 23:00:00+01:00,2024-01-01 22:00:00+00:00
01/01/2024 23:15,01/01/2024 23:30,62.29,2024-01-01 23:15:00+01:00,2024-01-01 22:15:00+00:00
01/01/2024 23:30,01/01/2024 23:45,62.29,2024-01-01 23:30:00+01:00,2024-01-01 22:30:00+00:00
01/01/2024 23:45,02/01/2024 00:00,62.29,2024-01-01 23:45:00+01:00,2024-01-01 22:45:00+00:00
