delivery_date,kmeans_rmse,euclidean_rmse,difference
2024-09-17,0.5885433997024632,0.5885433997024632,0.0
2024-09-18,0.805532949874388,0.2709858544893687,0.5345470953850193
2024-09-19,0.8772684879784524,0.8772684879784524,0.0
2024-09-20,0.7945963335765734,0.9437778693456776,-0.1491815357691042
2024-09-21,0.6738199561702914,1.1528804505816437,-0.47906049441135223
2024-09-22,0.4447283815244236,0.4514975082987723,-0.006769126774348655
2024-09-23,0.3027650354097491,0.3027650354097491,0.0
2024-09-24,0.6923751391646968,0.6816524040887703,0.010722735075926582
2024-09-25,2.1912439389533973,1.9809257095274089,0.21031822942598843
2024-09-26,0.3482336380458768,0.3482336380458768,0.0
2024-09-27,0.6386183001866867,0.6386183001866867,0.0
2024-09-28,0.8476634552305137,0.8829401640730437,-0.03527670884252998
2024-09-29,0.735753581937141,0.4121286206998975,0.32362496123724355
2024-09-30,0.8010201828501785,0.3379102444930212,0.4631099383571573
2024-10-01,1.417544825863836,1.2978893121783024,0.11965551368553351
2024-10-02,0.8927578992462999,0.8927578992462999,0.0
2024-10-03,1.6859369304138672,0.786468901694996,0.8994680287188712
2024-10-04,0.4703721930556695,0.9883234962973072,-0.5179513032416376
2024-10-05,1.3184713370667815,1.0131140113531152,0.30535732571366636
2024-10-06,0.5809761899883104,0.9154233993076648,-0.33444720931935445
2024-10-07,0.9637599977864476,0.9910348127084132,-0.027274814921965596
2024-10-08,0.8800284086323577,0.8800284086323577,0.0
2024-10-09,1.0663410961476318,1.0772805267586216,-0.010939430610989787
2024-10-10,0.5390269009984565,0.5390269009984565,0.0
2024-10-11,0.7290518957294236,1.0984838035522722,-0.3694319078228485
2024-10-12,1.145476611139078,0.8917211821341169,0.25375542900496106
2024-10-13,1.096251187760664,2.0831066543346584,-0.9868554665739944
2024-10-14,2.282432912486148,1.6179204760020398,0.6645124364841082
2024-10-15,1.6246999723025788,2.1948500328420315,-0.5701500605394527
2024-10-16,0.7531046850648764,1.9060167890131503,-1.152912103948274
2024-10-17,0.8473783098474965,1.1073015247287734,-0.2599232148812769
2024-10-18,1.3546832348068187,1.257457752769452,0.0972254820373668
2024-10-19,1.447595707831898,1.9562762245313587,-0.5086805166994608
2024-10-20,2.4020165139593304,2.477471829641392,-0.07545531568206165
2024-10-21,2.0178206064960285,2.108459153030952,-0.09063854653492376
2024-10-22,1.9913688759242976,1.8423264278261515,0.14904244809814604
2024-10-23,0.8356534369382242,0.8518411432499214,-0.016187706311697192
2024-10-24,2.381137683265432,1.7986430070101924,0.5824946762552397
2024-10-25,2.805381732789081,5.271122587583534,-2.465740854794453
2024-10-26,1.7555008781921282,0.3695041722813604,1.3859967059107678
2024-10-27,1.4767926959010418,1.863169342813476,-0.3863766469124341
2024-10-28,0.9917492962773742,0.9917492962773742,0.0
2024-10-29,2.359452620136007,2.359452620136007,0.0
2024-10-30,2.850154966547141,2.850154966547141,0.0
