,demand_National Demand Forecast (NDF) - GB (MW)_mean,demand_National Demand Forecast (NDF) - GB (MW)_max,demand_National Demand Forecast (NDF) - GB (MW)_min,demand_National Demand Forecast (NDF) - GB (MW)_spread,demand_National Demand Forecast (NDF) - GB (MW)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_mean,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_max,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_min,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_spread,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_rolling_std_7d,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_price_range,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_cv,solar_solar_fc_meteo_mw_mean,solar_solar_fc_meteo_mw_max,solar_solar_fc_meteo_mw_min,solar_solar_fc_meteo_mw_spread,solar_solar_fc_meteo_mw_std,wind_wind_fc_meteo_mw_mean,wind_wind_fc_meteo_mw_max,wind_wind_fc_meteo_mw_min,wind_wind_fc_meteo_mw_spread,wind_wind_fc_meteo_mw_std,price_intraday_volatility,day_of_week,is_weekend,month
2024-03-02,28981.145833333332,36148.0,22862.5,13285.5,3770.8120636160465,61.87166666666667,80.1,53.26,26.839999999999996,7.2737997167120705,7.181955231855831,26.839999999999996,0.11756269240167123,913.4871875,3562.73,0.0,3562.73,1307.6555690371474,6227.39,7185.985,4317.455,2868.5299999999997,787.7100985682569,,5,1,3
2024-03-03,28554.770833333332,38126.0,22884.0,15242.0,4491.574377749013,65.31833333333334,87.87,58.05,29.820000000000007,8.233792335970351,9.530480425605907,29.820000000000007,0.12605637522855273,1453.2429166666668,5700.4675,0.0,5700.4675,2106.3274478949843,2176.388645833333,3977.8775,1287.59,2690.2875000000004,780.0374743164795,,6,1,3
2024-03-04,30823.270833333332,38336.5,23801.5,14535.0,4600.585021823353,67.55833333333334,89.04,47.55,41.49000000000001,9.645659833478915,13.10493890903441,41.49000000000001,0.14277527815683597,1220.5333333333333,5043.99,0.0,5043.99,1813.7087876424807,5615.6571875,12878.345,1001.275,11877.07,4288.49180270907,,0,0,3
2024-03-05,31278.625,39974.0,22582.0,17392.0,5478.2926970909475,64.33541666666666,89.64,45.86,43.78,12.092680495157847,10.973358430220674,43.78,0.1879630399817288,1623.9990625,6257.235000000001,0.0,6257.235000000001,2329.9250193736193,5985.980625,12071.9375,2911.3275000000003,9160.61,2681.126305180246,,1,0,3
2024-03-06,31193.645833333332,38709.0,23775.0,14934.0,4603.156356805541,67.47541666666667,85.68,58.9,26.78000000000001,8.506412915465942,11.073686528583586,26.78000000000001,0.1260668453147644,1331.6245833333332,5188.5675,0.0,5188.5675,1903.23156502712,4892.318958333333,6684.795,3043.345,3641.4500000000003,1199.694318837755,,2,0,3
2024-03-07,30297.395833333332,38345.0,23086.5,15258.5,4776.511112997705,61.83791666666667,75.41,51.89,23.519999999999996,7.52537503278461,9.870738622432512,23.519999999999996,0.12169515789721154,1287.3310416666666,4779.0125,0.0,4779.0125,1796.3654527278968,8667.472395833332,12869.285,5472.005,7397.28,2691.569924942836,,3,0,3
2024-03-08,28334.5,35705.0,21952.5,13752.5,4037.1446808249325,48.67166666666666,71.37,27.49,43.88000000000001,12.75492084636755,11.598005370382813,43.88000000000001,0.2620604906283783,1598.1479166666668,5982.27,0.0,5982.27,2257.9981491583503,13660.228229166665,14977.2,11076.0825,3901.1175000000003,1362.77030562099,,4,0,3
2024-03-09,25878.9375,33454.5,20060.0,13394.5,3683.248003409432,45.138749999999995,72.31,22.61,49.7,13.320134583632663,11.028012815855188,49.7,0.2950931202931554,1145.7154166666667,4500.3225,0.0,4500.3225,1670.2638005634453,13587.239270833334,14043.74,12746.99,1296.75,387.1697741073364,,5,1,3
2024-03-10,26965.625,35101.0,19616.0,15485.0,4907.038600981425,52.61000000000001,79.0,22.97,56.03,16.48829360749488,7.461665842347632,56.03,0.3134060750331663,638.9851041666667,2369.87,0.0,2369.87,900.2061783662332,11214.782083333334,12701.23,7938.5225,4762.7074999999995,1462.1753404774556,,6,1,3
2024-03-11,31744.3125,39909.0,21695.5,18213.5,6281.890052074986,71.77166666666666,94.3,54.28,40.019999999999996,11.090413669576032,11.698791553383819,40.019999999999996,0.15452356319219787,704.6389583333333,2690.695,0.0,2690.695,999.5460835192938,4692.960520833333,7594.695,2503.2,5091.495,1592.4485243468791,,0,0,3
2024-03-12,31372.1875,38499.0,22709.5,15789.5,5551.22934839956,69.03458333333333,81.55,47.27,34.279999999999994,8.724866501615624,12.926392897221286,34.279999999999994,0.12638399596746497,417.70812500000005,1432.5675,0.0,1432.5675,562.8663919111451,6891.584791666667,12547.38,2249.85,10297.529999999999,3513.8904340906006,,1,0,3
2024-03-13,28206.375,35720.0,19479.5,16240.5,5321.079151029583,54.30041666666667,76.68,25.7,50.980000000000004,14.820640858984966,9.504617674733518,50.980000000000004,0.2729378846200068,810.7272916666667,3132.2925,0.0,3132.2925,1144.4210196398146,12831.808854166666,13906.755,10287.635,3619.119999999999,996.4059967949332,,2,0,3
2024-03-14,28539.25,35475.0,21019.0,14456.0,4726.3409139399355,59.27916666666667,76.11,43.61,32.5,9.443284670193885,10.979766022314044,32.5,0.15930191332301485,896.6090625,3598.6425,0.0,3598.6425,1293.9153970324396,10334.951145833333,11834.605,9562.495,2272.1099999999988,737.3618346492245,,3,0,3
2024-03-15,27611.666666666668,34914.5,20332.0,14582.5,4453.80857700235,56.638749999999995,76.64,35.62,41.02,11.865124016831116,6.7330676515240775,41.02,0.20948774499492165,1202.8426041666667,4677.255,0.0,4677.255,1701.7183346052843,9962.123333333333,11806.79,6371.5275,5435.262500000001,1887.7366718967282,,4,0,3
2024-03-16,26175.770833333332,32637.0,21601.5,11035.5,3114.994615736734,63.50625,75.29,53.12,22.17000000000001,5.9979400902382265,8.844176722836439,22.17000000000001,0.09444645354178885,1421.9801041666667,5622.4675,0.0,5622.4675,2050.274846430786,5217.0775,10521.825,1372.1425,9149.6825,2966.168543010788,,5,1,3
2024-03-17,25462.083333333332,33556.5,19563.5,13993.0,4080.6331581035915,59.89791666666667,78.36,46.67,31.689999999999998,8.64792308776414,7.567828524182421,31.689999999999998,0.14437769406722503,1070.5887500000001,4222.530000000001,0.0,4222.530000000001,1544.953177382697,6807.365104166667,10254.29,4840.85,5413.4400000000005,1496.7830249483834,,6,1,3
2024-03-18,27699.4375,35067.0,21106.0,13961.0,4416.49638414222,63.830000000000005,77.5,46.07,31.43,8.330297244031156,12.094075290937164,31.43,0.1305075551313043,1650.6327083333333,6252.9575,0.0,6252.9575,2296.02638376123,6877.962395833333,12468.6,3913.705,8554.895,2526.8370645613504,,0,0,3
2024-03-19,27682.958333333332,36673.5,18762.5,17911.0,5540.526405136475,61.225,88.19,36.21,51.98,15.106884983776224,9.10036027544276,51.98,0.24674373187057935,1418.7119791666667,5325.33,0.0,5325.33,1972.646424259693,7691.458854166667,12616.125,1128.4375,11487.6875,4635.328506693069,,1,0,3
