4hour_block,demand_National Demand Forecast (NDF) - GB (MW)_mean,demand_National Demand Forecast (NDF) - GB (MW)_max,demand_National Demand Forecast (NDF) - GB (MW)_min,demand_National Demand Forecast (NDF) - GB (MW)_spread,demand_National Demand Forecast (NDF) - GB (MW)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_mean,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_max,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_min,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_spread,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_rolling_std_7d,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_price_range,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_cv,solar_solar_fc_meteo_mw_mean,solar_solar_fc_meteo_mw_max,solar_solar_fc_meteo_mw_min,solar_solar_fc_meteo_mw_spread,solar_solar_fc_meteo_mw_std,wind_wind_fc_meteo_mw_mean,wind_wind_fc_meteo_mw_max,wind_wind_fc_meteo_mw_min,wind_wind_fc_meteo_mw_spread,wind_wind_fc_meteo_mw_std,price_block_volatility,day_of_week,is_weekend,hour_block
2024-08-11 04:00:00+00:00,18015.375,18306.0,17564.0,742.0,320.4911270222625,53.9475,55.35,52.01,3.3400000000000034,1.4230571550948588,,3.3400000000000034,0.026378556097962982,1380.798125,3499.995,2.065,3497.93,1576.530116919981,1735.415625,2076.73,1385.76,690.97,303.28876437024365,1.4230571550948588,6,1,1
2024-08-11 08:00:00+00:00,18951.25,19208.5,18614.0,594.5,247.31440853024893,41.7125,52.77,33.12,19.650000000000006,8.320802745729123,,19.650000000000006,0.19947983807561587,7588.70125,9060.435,5479.48,3580.955,1592.3767564156783,1169.636875,1283.11,1103.655,179.45499999999993,85.20200734565573,8.320802745729123,6,1,2
2024-08-11 12:00:00+00:00,19783.625,22381.5,18204.5,4177.0,1908.9902381014588,31.29,46.67,22.08,24.590000000000003,10.701292756796569,,24.590000000000003,0.3420036036048759,7839.2318749999995,9116.28,5986.8225,3129.4575000000004,1393.757872882659,1652.381875,2215.655,1232.4425,983.2125000000001,428.7169524745466,10.701292756796569,6,1,3
2024-08-11 16:00:00+00:00,24241.75,24685.0,24003.5,681.5,320.7799089718683,79.2875,86.9,67.75,19.150000000000006,8.140345508637829,,19.150000000000006,0.10266871207488983,1767.883125,4129.7675,24.0975,4105.67,1827.8542847333947,4533.046875,6460.6900000000005,2883.95,3576.7400000000007,1545.9040985204729,8.140345508637829,6,1,4
2024-08-11 20:00:00+00:00,19205.25,22112.0,17349.0,4763.0,2118.440680469167,57.4525,70.45,47.86,22.590000000000003,9.872197914682763,,22.590000000000003,0.171832346976768,0.0,0.0,0.0,0.0,0.0,9594.273125,10726.805,7923.885,2802.92,1260.5369298758085,9.872197914682763,6,1,5
2024-08-12 00:00:00+00:00,16791.625,17475.5,16375.5,1100.0,482.28801474499284,33.307500000000005,41.24,28.5,12.740000000000002,5.78448139421331,,12.740000000000002,0.17366903532877925,0.0,0.0,0.0,0.0,0.0,11092.526875,11323.75,10880.6725,443.0774999999994,186.92343628001467,5.78448139421331,0,0,0
2024-08-12 04:00:00+00:00,22544.125,24064.0,19912.5,4151.5,1936.5997854917434,57.77,70.43,39.8,30.63000000000001,13.856957337982493,,30.63000000000001,0.23986424334399326,1234.696875,3155.565,0.725,3154.84,1424.9331757538887,11411.053125,11533.34,11147.3475,385.9925000000003,180.21077001869017,13.856957337982493,0,0,1
2024-08-12 08:00:00+00:00,23496.0,23988.5,23162.0,826.5,355.1063221064921,54.285,67.6,47.71,19.889999999999993,9.195580460199341,,19.889999999999993,0.16939450051025773,7045.555,8455.645,5060.27,3395.375,1502.7739656437577,8890.5975,10490.84,7525.045,2965.795,1314.172494203418,9.195580460199341,0,0,2
2024-08-12 12:00:00+00:00,24771.25,26857.0,23732.5,3124.5,1459.884384691701,59.879999999999995,73.91,49.98,23.93,10.975363319726595,,23.93,0.1832893005966365,7353.360625,8426.4325,5855.07,2571.362500000001,1128.0111869816405,6910.195625,7277.135,6407.29,869.8450000000003,381.4759662720959,10.975363319726595,0,0,3
2024-08-12 16:00:00+00:00,28028.375,28380.5,27525.0,855.5,412.4484563756625,95.8925,101.92,85.66,16.260000000000005,7.138559028263336,,16.260000000000005,0.074443350921744,1740.729375,4087.6825,18.875,4068.8075,1814.3253805746629,5385.7056250000005,5991.335,4788.05,1203.2849999999999,517.00875796247,7.138559028263336,0,0,4
