date,closest_reference_days,distance
2024-09-24,"[Timestamp('2024-09-02 00:00:00'), Timestamp('2024-09-13 00:00:00'), Timestamp('2024-09-03 00:00:00'), Timestamp('2024-09-20 00:00:00'), Timestamp('2024-09-19 00:00:00')]",3055.1168306604804
2024-09-25,"[Timestamp('2024-09-24 00:00:00'), Timestamp('2024-09-05 00:00:00'), Timestamp('2024-09-02 00:00:00'), Timestamp('2024-09-06 00:00:00'), Timestamp('2024-09-13 00:00:00')]",7222.335684066243
2024-09-26,"[Timestamp('2024-09-10 00:00:00'), Timestamp('2024-08-27 00:00:00'), Timestamp('2024-09-11 00:00:00'), Timestamp('2024-08-15 00:00:00'), Timestamp('2024-09-12 00:00:00')]",5632.298254869565
2024-09-27,"[Timestamp('2024-09-26 00:00:00'), Timestamp('2024-09-10 00:00:00'), Timestamp('2024-09-11 00:00:00'), Timestamp('2024-08-27 00:00:00'), Timestamp('2024-08-15 00:00:00')]",2725.5326262135727
2024-09-28,"[Timestamp('2024-09-06 00:00:00'), Timestamp('2024-08-13 00:00:00'), Timestamp('2024-09-09 00:00:00'), Timestamp('2024-09-15 00:00:00'), Timestamp('2024-08-14 00:00:00')]",3092.362801956865
2024-09-29,"[Timestamp('2024-08-08 00:00:00'), Timestamp('2024-08-19 00:00:00'), Timestamp('2024-09-01 00:00:00'), Timestamp('2024-08-24 00:00:00'), Timestamp('2024-08-12 00:00:00')]",4822.1092197565895
2024-09-30,"[Timestamp('2024-09-26 00:00:00'), Timestamp('2024-09-27 00:00:00'), Timestamp('2024-09-12 00:00:00'), Timestamp('2024-09-09 00:00:00'), Timestamp('2024-08-08 00:00:00')]",6211.469712708452
2024-10-01,"[Timestamp('2024-09-26 00:00:00'), Timestamp('2024-09-12 00:00:00'), Timestamp('2024-09-30 00:00:00'), Timestamp('2024-09-27 00:00:00'), Timestamp('2024-09-09 00:00:00')]",6709.937082081179
2024-10-02,"[Timestamp('2024-10-01 00:00:00'), Timestamp('2024-09-12 00:00:00'), Timestamp('2024-09-20 00:00:00'), Timestamp('2024-09-09 00:00:00'), Timestamp('2024-09-24 00:00:00')]",3551.1741469545345
2024-10-03,"[Timestamp('2024-09-24 00:00:00'), Timestamp('2024-09-02 00:00:00'), Timestamp('2024-09-13 00:00:00'), Timestamp('2024-09-19 00:00:00'), Timestamp('2024-09-03 00:00:00')]",2865.143822726278
2024-10-04,"[Timestamp('2024-09-05 00:00:00'), Timestamp('2024-10-01 00:00:00'), Timestamp('2024-10-02 00:00:00'), Timestamp('2024-09-30 00:00:00'), Timestamp('2024-09-09 00:00:00')]",8372.982143693405
2024-10-05,"[Timestamp('2024-08-15 00:00:00'), Timestamp('2024-08-07 00:00:00'), Timestamp('2024-08-27 00:00:00'), Timestamp('2024-08-20 00:00:00'), Timestamp('2024-09-26 00:00:00')]",2728.4133930648477
2024-10-06,"[Timestamp('2024-09-30 00:00:00'), Timestamp('2024-09-26 00:00:00'), Timestamp('2024-09-27 00:00:00'), Timestamp('2024-09-09 00:00:00'), Timestamp('2024-10-05 00:00:00')]",3846.2161221625493
2024-10-07,"[Timestamp('2024-10-03 00:00:00'), Timestamp('2024-10-02 00:00:00'), Timestamp('2024-09-24 00:00:00'), Timestamp('2024-09-02 00:00:00'), Timestamp('2024-09-20 00:00:00')]",3735.0492150220816
