date,demand_National Demand Forecast (NDF) - GB (MW)_mean,demand_National Demand Forecast (NDF) - GB (MW)_max,demand_National Demand Forecast (NDF) - GB (MW)_min,demand_National Demand Forecast (NDF) - GB (MW)_spread,demand_National Demand Forecast (NDF) - GB (MW)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_mean,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_max,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_min,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_spread,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_rolling_std_7d,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_price_range,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_cv,solar_solar_fc_meteo_mw_mean,solar_solar_fc_meteo_mw_max,solar_solar_fc_meteo_mw_min,solar_solar_fc_meteo_mw_spread,solar_solar_fc_meteo_mw_std,wind_wind_fc_meteo_mw_mean,wind_wind_fc_meteo_mw_max,wind_wind_fc_meteo_mw_min,wind_wind_fc_meteo_mw_spread,wind_wind_fc_meteo_mw_std,price_intraday_volatility,day_of_week,is_weekend,month,price_1,price_2,price_3,price_4,price_5,price_6,is_holiday,month_sin,month_cos
2024-03-23,23066.166666666668,30677.5,18331.0,12346.5,3586.7297860266845,32.48,67.36,13.32,54.04,16.34929356272007,18.916329806104915,54.04,0.5033649495911352,1879.8764583333332,6417.2675,0.0,6417.2675,2443.427092177484,15086.215833333334,15526.485,14041.18,1485.3050000000003,398.6986457824158,,5,1,3,0.92,1.98,1.0,3.83,3.18,0.72,False,1.0,6.123233995736766e-17
2024-03-24,24176.08333333333,34260.5,18161.0,16099.5,5168.959382839963,28.905,77.26,-4.97,82.23,30.747532103158825,6.298134266439167,82.23,1.0637444076512308,1946.6486458333336,6222.7875,0.0,6222.7875,2475.188929017424,9339.013125,14791.6175,1491.4675,13300.15,4823.490309183834,,6,1,3,0.53,1.15,0.8,2.1,3.3,1.15,False,1.0,6.123233995736766e-17
2024-03-25,29746.75,36970.5,21319.5,15651.0,5290.803471077453,69.6275,86.07,55.98,30.09,8.419658285950442,11.63896248035225,30.09,0.1209243228027782,817.2348958333333,2870.1325,0.0,2870.1325,1078.5509439237662,6431.148125,8429.76,1875.22,6554.54,1979.943522569472,,0,0,3,0.68,1.05,0.51,3.5,1.38,0.91,False,1.0,6.123233995736766e-17
2024-03-26,29065.125,36576.5,21726.5,14850.0,4589.102015621639,72.21708333333333,91.78,57.61,34.17,10.212751824011034,13.57005877798971,34.17,0.1414173953394364,1073.991041666667,4048.42,0.0,4048.42,1469.0268732819054,5791.462812500001,9374.1575,4137.105,5237.0525,1417.147720886484,,1,0,3,1.0,2.1,0.99,4.5,2.5,1.0,False,1.0,6.123233995736766e-17
2024-03-27,27993.1875,36097.0,20896.0,15201.0,4549.667961636467,60.29375,81.99,48.53,33.459999999999994,9.652365248544232,9.452665786760392,33.459999999999994,0.1600889851525942,1622.7532291666666,4855.985000000001,0.0,4855.985000000001,2015.3424703454195,10478.551458333332,12302.5775,7908.63,4393.947499999999,1205.5320939055778,,2,0,3,1.24,2.0,0.91,5.51,2.0,1.22,False,1.0,6.123233995736766e-17
2024-03-28,27293.666666666668,33795.0,21033.5,12761.5,3869.89761595459,58.693333333333335,78.09,47.32,30.770000000000003,9.12726287208996,9.851673292728846,30.770000000000003,0.1555076591110284,1353.7301041666667,4286.715,0.0,4286.715,1695.7784408938155,11392.9509375,12912.5,8162.785,4749.715,1445.4544703343934,,3,0,3,0.85,1.14,0.89,3.0,2.61,1.07,False,1.0,6.123233995736766e-17
2024-03-29,24359.416666666668,31579.0,20504.0,11075.0,3100.1284463805646,54.83583333333333,78.17,31.06,47.11,12.90722309294352,8.533388764700899,47.11,0.2353793552198566,1950.790625,6461.82,0.0,6461.82,2498.149383346345,8241.086458333333,10234.6325,7399.105,2835.5275,672.1017420432439,,4,0,3,0.74,2.38,1.32,3.32,2.1,0.95,False,1.0,6.123233995736766e-17
2024-03-30,23047.83333333333,29816.5,20152.0,9664.5,3053.0699363479825,63.82625,86.14,51.67,34.47,9.621881680067435,7.613597172477796,34.47,0.1507511671149008,2211.8234375,6980.995,0.0,6980.995,2769.0098956326087,2710.953020833333,7063.15,1237.4625,5825.6875,1761.7888222934496,,5,1,3,0.5,0.94,0.75,2.0,2.5,1.13,False,1.0,6.123233995736766e-17
2024-03-31,23271.791666666668,29798.0,19317.0,10481.0,3460.021795346868,58.959583333333335,74.35,43.96,30.389999999999997,8.216613858342223,9.790437268312475,30.389999999999997,0.1393601072770282,1884.4202083333328,5958.365,0.0,5958.365,2383.365134470076,5762.9646875,8843.7525,1878.46,6965.2925000000005,2285.973171161406,,6,1,3,0.94,0.96,1.07,2.15,1.82,1.14,False,1.0,6.123233995736766e-17
2024-04-01,23554.854166666668,30740.0,19014.0,11726.0,3520.7701988379417,63.19375,81.7,48.25,33.45,9.27195060032044,8.450542107152758,33.45,0.1467225888686846,1666.1525,5165.495,0.0,5165.495,2063.5743567321483,6317.689062500001,7496.47,5320.935,2175.535,696.5130858881876,,0,0,4,0.79,1.0,1.2,1.51,2.45,0.96,False,0.8660254037844387,-0.4999999999999998
