date,closest_reference_days,distance
2024-08-26,[Timestamp('2024-08-12 00:00:00')],0.0011916368437812075
2024-08-27,[Timestamp('2024-08-15 00:00:00')],0.0020459967112602673
2024-08-28,[Timestamp('2024-07-12 00:00:00')],0.0004630220502360727
2024-08-29,[Timestamp('2024-07-18 00:00:00')],0.0017602234456444155
2024-08-30,[Timestamp('2024-07-30 00:00:00')],0.0003029772773989192
2024-08-31,[Timestamp('2024-07-06 00:00:00')],0.003527995684230789
2024-09-01,[Timestamp('2024-08-27 00:00:00')],0.001891479298379406
2024-09-02,[Timestamp('2024-08-28 00:00:00')],0.003828215392800538
2024-09-03,[Timestamp('2024-07-08 00:00:00')],0.001407152030206582
2024-09-04,[Timestamp('2024-09-03 00:00:00')],0.00027065283594995826
2024-09-05,[Timestamp('2024-07-09 00:00:00')],0.0005715802849678431
2024-09-06,[Timestamp('2024-07-22 00:00:00')],0.0029255408712357545
2024-09-07,[Timestamp('2024-09-03 00:00:00')],0.0010613319519433562
2024-09-08,[Timestamp('2024-07-16 00:00:00')],0.001327822305432269
2024-09-09,[Timestamp('2024-09-01 00:00:00')],0.00038423647624941104
2024-09-10,[Timestamp('2024-08-21 00:00:00')],0.0073615492811800465
2024-09-11,[Timestamp('2024-08-27 00:00:00')],0.0026958926223936697
2024-09-12,[Timestamp('2024-08-05 00:00:00')],0.000664112513180104
2024-09-13,[Timestamp('2024-07-21 00:00:00')],0.000837794892548871
2024-09-14,[Timestamp('2024-08-13 00:00:00')],0.0020211613917089366
2024-09-15,[Timestamp('2024-09-08 00:00:00')],0.0031736952956714637
2024-09-16,[Timestamp('2024-09-13 00:00:00')],0.0031590992541916663
2024-09-17,[Timestamp('2024-09-16 00:00:00')],0.0008077453708186244
2024-09-18,[Timestamp('2024-09-17 00:00:00')],0.0006683024190657916
2024-09-19,[Timestamp('2024-09-17 00:00:00')],0.0003838035190000255
2024-09-20,[Timestamp('2024-07-22 00:00:00')],0.001490148328099239
2024-09-21,[Timestamp('2024-08-28 00:00:00')],0.0016062385601159912
2024-09-22,[Timestamp('2024-09-02 00:00:00')],0.0012860093377012882
2024-09-23,[Timestamp('2024-09-22 00:00:00')],0.0012817801905158355
2024-09-24,[Timestamp('2024-09-02 00:00:00')],0.0011307001667297811
2024-09-25,[Timestamp('2024-09-08 00:00:00')],0.006995143470139631
2024-09-26,[Timestamp('2024-09-09 00:00:00')],0.0013584355981923757
2024-09-27,[Timestamp('2024-09-10 00:00:00')],0.000329463789048412
2024-09-28,[Timestamp('2024-08-04 00:00:00')],0.003192538745932838
2024-09-29,[Timestamp('2024-08-19 00:00:00')],0.0028145306302965745
2024-09-30,[Timestamp('2024-09-05 00:00:00')],0.004496523253740392
2024-10-01,[Timestamp('2024-09-26 00:00:00')],0.002152897444733126
2024-10-02,[Timestamp('2024-10-01 00:00:00')],0.0024674814705410997
2024-10-03,[Timestamp('2024-09-19 00:00:00')],0.0014074882837006308
2024-10-04,[Timestamp('2024-09-21 00:00:00')],0.0010560274732533959
2024-10-05,[Timestamp('2024-08-07 00:00:00')],0.002531219517917349
2024-10-06,[Timestamp('2024-09-30 00:00:00')],0.0020558648661541667
2024-10-07,[Timestamp('2024-09-15 00:00:00')],0.0007480611942766169
2024-10-08,[Timestamp('2024-10-07 00:00:00')],0.00206916519435707
2024-10-09,[Timestamp('2024-09-26 00:00:00')],0.0016067061359552604
2024-10-10,[Timestamp('2024-09-09 00:00:00')],0.0008365730386916681
2024-10-11,[Timestamp('2024-10-04 00:00:00')],0.00032183044295319707
2024-10-12,[Timestamp('2024-08-15 00:00:00')],0.002620403234965152
2024-10-13,[Timestamp('2024-09-29 00:00:00')],0.006682147676030592
2024-10-14,[Timestamp('2024-09-23 00:00:00')],0.0008525398396780348
2024-10-15,[Timestamp('2024-09-30 00:00:00')],0.0015904000062467727
2024-10-16,[Timestamp('2024-09-30 00:00:00')],0.0002741304297838587
2024-10-17,[Timestamp('2024-10-07 00:00:00')],0.0009619297603435939
2024-10-18,[Timestamp('2024-09-06 00:00:00')],0.0006430994682217195
2024-10-19,[Timestamp('2024-09-15 00:00:00')],0.001059989995859545
2024-10-20,[Timestamp('2024-08-22 00:00:00')],0.0033114979768136266
2024-10-21,[Timestamp('2024-10-06 00:00:00')],0.004132678065286388
2024-10-22,[Timestamp('2024-10-19 00:00:00')],0.0013066386701557908
2024-10-23,[Timestamp('2024-10-08 00:00:00')],0.000986846754163051
2024-10-24,[Timestamp('2024-10-10 00:00:00')],0.0005401659422017424
2024-10-25,[Timestamp('2024-09-23 00:00:00')],0.0010787272715629959
2024-10-26,[Timestamp('2024-09-08 00:00:00')],0.0007850662718122958
2024-10-27,[Timestamp('2024-09-09 00:00:00')],0.0019068302439542162
2024-10-28,[Timestamp('2024-10-16 00:00:00')],0.00574940199298124
2024-10-29,[Timestamp('2024-09-23 00:00:00')],0.0017686782426838965
2024-10-30,[Timestamp('2024-10-29 00:00:00')],0.0014575586561798026
