dtutc,dcl_price
2024-05-23 06:00:00+00:00,2.38
2024-05-23 10:00:00+00:00,1.24
2024-05-23 14:00:00+00:00,1.78
2024-05-23 18:00:00+00:00,3.23
2024-05-23 22:00:00+00:00,0.8
2024-05-24 02:00:00+00:00,0.73
2024-05-24 06:00:00+00:00,1.68
2024-05-24 10:00:00+00:00,1.35
2024-05-24 14:00:00+00:00,2.27
2024-05-24 18:00:00+00:00,2.01
2024-05-24 22:00:00+00:00,1.1
2024-05-25 02:00:00+00:00,1.02
2024-05-25 06:00:00+00:00,1.66
2024-05-25 10:00:00+00:00,2.1
2024-05-25 14:00:00+00:00,1.89
2024-05-25 18:00:00+00:00,2.5
2024-05-25 22:00:00+00:00,1.12
2024-05-26 02:00:00+00:00,1.34
2024-05-26 06:00:00+00:00,1.68
2024-05-26 10:00:00+00:00,1.79
2024-05-26 14:00:00+00:00,3.0
2024-05-26 18:00:00+00:00,3.6
2024-05-26 22:00:00+00:00,0.72
2024-05-27 02:00:00+00:00,1.11
2024-05-27 06:00:00+00:00,1.76
2024-05-27 10:00:00+00:00,1.5
2024-05-27 14:00:00+00:00,2.71
2024-05-27 18:00:00+00:00,2.76
2024-05-27 22:00:00+00:00,1.16
2024-05-28 02:00:00+00:00,1.2
2024-05-28 06:00:00+00:00,2.0
2024-05-28 10:00:00+00:00,1.42
2024-05-28 14:00:00+00:00,1.76
2024-05-28 18:00:00+00:00,2.0
2024-05-28 22:00:00+00:00,1.11
2024-05-29 02:00:00+00:00,0.5
2024-05-29 06:00:00+00:00,2.0
2024-05-29 10:00:00+00:00,1.3
2024-05-29 14:00:00+00:00,1.43
2024-05-29 18:00:00+00:00,2.91
2024-05-29 22:00:00+00:00,2.0
2024-05-30 02:00:00+00:00,1.25
2024-05-30 06:00:00+00:00,3.75
2024-05-30 10:00:00+00:00,1.85
2024-05-30 14:00:00+00:00,2.37
2024-05-30 18:00:00+00:00,3.25
2024-05-30 22:00:00+00:00,1.5
2024-05-31 02:00:00+00:00,1.22
2024-05-31 06:00:00+00:00,3.25
2024-05-31 10:00:00+00:00,1.83
2024-05-31 14:00:00+00:00,2.69
2024-05-31 18:00:00+00:00,3.45
2024-05-31 22:00:00+00:00,1.02
2024-06-01 02:00:00+00:00,1.4
2024-06-01 06:00:00+00:00,1.48
2024-06-01 10:00:00+00:00,2.0
2024-06-01 14:00:00+00:00,2.45
2024-06-01 18:00:00+00:00,3.47
2024-06-01 22:00:00+00:00,1.18
2024-06-02 02:00:00+00:00,1.42
2024-06-02 06:00:00+00:00,1.48
2024-06-02 10:00:00+00:00,1.52
2024-06-02 14:00:00+00:00,3.14
2024-06-02 18:00:00+00:00,3.6
2024-06-02 22:00:00+00:00,1.1
2024-06-03 02:00:00+00:00,2.0
2024-06-03 06:00:00+00:00,2.0
2024-06-03 10:00:00+00:00,1.1
2024-06-03 14:00:00+00:00,2.42
2024-06-03 18:00:00+00:00,4.17
2024-06-03 22:00:00+00:00,1.3
2024-06-04 02:00:00+00:00,3.44
2024-06-04 06:00:00+00:00,6.06
2024-06-04 10:00:00+00:00,3.25
2024-06-04 14:00:00+00:00,3.24
2024-06-04 18:00:00+00:00,6.75
2024-06-04 22:00:00+00:00,1.69
2024-06-05 02:00:00+00:00,1.8
2024-06-05 06:00:00+00:00,10.0
2024-06-05 10:00:00+00:00,2.34
2024-06-05 14:00:00+00:00,3.15
2024-06-05 18:00:00+00:00,5.5
2024-06-05 22:00:00+00:00,1.0
2024-06-06 02:00:00+00:00,2.25
2024-06-06 06:00:00+00:00,2.01
2024-06-06 10:00:00+00:00,1.75
2024-06-06 14:00:00+00:00,2.75
2024-06-06 18:00:00+00:00,3.9
2024-06-06 22:00:00+00:00,1.13
2024-06-07 02:00:00+00:00,1.65
2024-06-07 06:00:00+00:00,2.45
2024-06-07 10:00:00+00:00,2.75
2024-06-07 14:00:00+00:00,2.76
2024-06-07 18:00:00+00:00,4.72
2024-06-07 22:00:00+00:00,2.2
2024-06-08 02:00:00+00:00,1.3
2024-06-08 06:00:00+00:00,1.83
2024-06-08 10:00:00+00:00,1.5
2024-06-08 14:00:00+00:00,2.41
2024-06-08 18:00:00+00:00,7.0
2024-06-08 22:00:00+00:00,1.56
2024-06-09 02:00:00+00:00,1.43
2024-06-09 06:00:00+00:00,0.75
2024-06-09 10:00:00+00:00,1.29
2024-06-09 14:00:00+00:00,3.31
2024-06-09 18:00:00+00:00,7.5
2024-06-09 22:00:00+00:00,1.12
2024-06-10 02:00:00+00:00,1.8
2024-06-10 06:00:00+00:00,3.23
2024-06-10 10:00:00+00:00,1.75
2024-06-10 14:00:00+00:00,3.49
2024-06-10 18:00:00+00:00,2.7
2024-06-10 22:00:00+00:00,1.71
2024-06-11 02:00:00+00:00,1.65
2024-06-11 06:00:00+00:00,1.65
2024-06-11 10:00:00+00:00,1.0
2024-06-11 14:00:00+00:00,1.94
2024-06-11 18:00:00+00:00,3.73
2024-06-11 22:00:00+00:00,0.82
2024-06-12 02:00:00+00:00,1.0
2024-06-12 06:00:00+00:00,1.17
2024-06-12 10:00:00+00:00,0.75
2024-06-12 14:00:00+00:00,1.49
2024-06-12 18:00:00+00:00,2.5
2024-06-12 22:00:00+00:00,1.48
2024-06-13 02:00:00+00:00,0.5
2024-06-13 06:00:00+00:00,2.5
2024-06-13 10:00:00+00:00,1.14
2024-06-13 14:00:00+00:00,1.17
2024-06-13 18:00:00+00:00,2.63
2024-06-13 22:00:00+00:00,1.26
2024-06-14 02:00:00+00:00,1.73
