dtutc,Unnamed: 0,imb,bpx,nrv,si
2023-01-08 06:00:00,697.5,20.93,13.58,-7.175000000000001,-5.824999999999996
2023-01-08 07:00:00,701.5,55.4,50.0,60.475,-84.175
2023-01-08 08:00:00,705.5,142.82750000000001,82.57,76.075,-99.35
2023-01-08 09:00:00,709.5,16.025,93.78,-104.1,85.9
2023-01-08 10:00:00,713.5,-35.1875,103.87,-202.85,195.75
2023-01-08 11:00:00,717.5,-35.525,101.69,-274.25,280.6
2023-01-08 12:00:00,721.5,-16.045,99.0,-67.0,46.825
2023-01-08 13:00:00,725.5,42.315,104.29,-28.95,12.25
2023-01-08 14:00:00,729.5,94.8725,100.0,-6.899999999999999,-11.85
2023-01-08 15:00:00,733.5,16.01,100.89,-47.325,40.27499999999999
2023-01-08 16:00:00,737.5,225.765,116.0,104.425,-132.75
2023-01-08 17:00:00,741.5,48.055,122.55,-15.875,-1.649999999999999
2023-01-08 18:00:00,745.5,153.385,109.32,7.024999999999999,-24.65
2023-01-08 19:00:00,749.5,218.4275,104.23,65.025,-79.875
2023-01-08 20:00:00,753.5,107.75,98.6,66.175,-100.2
2023-01-08 21:00:00,757.5,338.0125,99.34,205.29999999999998,-212.45
2023-01-08 22:00:00,761.5,270.4175,81.29,134.95,-130.60000000000002
2023-01-08 23:00:00,765.5,-75.4675,75.13,-143.575,148.2
2023-01-09 00:00:00,769.5,-34.255,64.38,-216.10000000000002,193.225
2023-01-09 01:00:00,773.5,95.78999999999999,60.28,-19.799999999999997,6.024999999999999
2023-01-09 02:00:00,777.5,-14.465,39.41,-103.55,95.45
2023-01-09 03:00:00,781.5,-121.6575,30.0,-199.125,184.275
2023-01-09 04:00:00,785.5,-32.13,43.99,-75.175,58.45
2023-01-09 05:00:00,789.5,21.0475,86.34,-111.77499999999999,91.425
2023-01-09 06:00:00,793.5,118.5125,160.0,-18.950000000000003,-7.974999999999994
2023-01-09 07:00:00,797.5,228.1125,180.0,43.599999999999994,-75.875
2023-01-09 08:00:00,801.5,244.54000000000002,177.19,91.45,-124.5
2023-01-09 09:00:00,805.5,255.5025,159.22,136.8,-158.1
2023-01-09 10:00:00,809.5,153.4325,160.78,-40.625,1.7499999999999996
2023-01-09 11:00:00,813.5,18.4275,139.57,-154.1,142.875
2023-01-09 12:00:00,817.5,71.4075,135.0,-39.875,11.874999999999998
2023-01-09 13:00:00,821.5,238.265,137.1,56.45,-88.825
2023-01-09 14:00:00,825.5,211.865,149.16,2.925,-33.075
2023-01-09 15:00:00,829.5,109.905,161.26,-98.175,66.45
2023-01-09 16:00:00,833.5,184.4425,174.11,11.2,-38.775
2023-01-09 17:00:00,837.5,226.7925,182.18,42.975,-81.325
2023-01-09 18:00:00,841.5,169.135,171.0,24.775,-63.2
2023-01-09 19:00:00,845.5,269.9575,160.86,213.825,-235.925
2023-01-09 20:00:00,849.5,335.5425,139.01,232.125,-264.025
2023-01-09 21:00:00,853.5,171.88,132.0,22.700000000000003,-25.650000000000002
2023-01-09 22:00:00,857.5,-38.915,108.31,-247.8,244.29999999999998
2023-01-09 23:00:00,861.5,-63.7,106.0,-128.2,131.4
2023-01-10 00:00:00,865.5,37.9675,96.74,-97.1,75.25
2023-01-10 01:00:00,869.5,59.695,95.22,-89.925,67.95
2023-01-10 02:00:00,873.5,168.9925,90.28,76.625,-105.07499999999999
2023-01-10 03:00:00,877.5,172.39249999999998,95.6,17.924999999999997,-47.55
2023-01-10 04:00:00,881.5,136.77,108.6,122.275,-172.5
2023-01-10 05:00:00,885.5,101.39750000000001,138.35,-39.725,27.15
2023-01-10 06:00:00,889.5,-9.892500000000002,156.0,-212.0,193.3
2023-01-10 07:00:00,893.5,132.615,187.78,-38.575,25.25
2023-01-10 08:00:00,897.5,127.0475,184.82,157.05,-165.70000000000002
2023-01-10 09:00:00,901.5,184.5325,158.93,162.875,-185.15
2023-01-10 10:00:00,905.5,134.5425,147.6,17.55,-30.825
2023-01-10 11:00:00,909.5,86.44,141.96,-60.425,46.7
2023-01-10 12:00:00,913.5,205.4625,142.44,39.925,-59.75
2023-01-10 13:00:00,917.5,207.52,145.66,87.775,-117.75
2023-01-10 14:00:00,921.5,216.29,146.48,101.375,-121.925
2023-01-10 15:00:00,925.5,169.875,141.45,-16.375,-2.2749999999999995
2023-01-10 16:00:00,929.5,56.275,147.9,-138.025,81.05
2023-01-10 17:00:00,933.5,132.17499999999998,144.74,-0.7250000000000005,-15.049999999999997
2023-01-10 18:00:00,937.5,180.1325,141.07,76.275,-84.05
2023-01-10 19:00:00,941.5,164.9225,124.84,-7.299999999999999,-8.125
2023-01-10 20:00:00,945.5,54.5675,101.9,-47.5,26.425000000000004
2023-01-10 21:00:00,949.5,39.7425,83.36,-85.19999999999999,80.225
2023-01-10 22:00:00,953.5,21.392500000000002,44.62,-107.925,109.94999999999999
2023-01-10 23:00:00,957.5,17.377499999999994,5.64,-211.4,223.5
2023-01-11 00:00:00,961.5,49.765,0.31,-69.525,59.325
2023-01-11 01:00:00,965.5,108.695,0.27,34.6,-48.125
2023-01-11 02:00:00,969.5,96.7475,-0.08,-18.325,7.424999999999999
2023-01-11 03:00:00,973.5,-8.61,-1.04,-142.75,150.6
2023-01-11 04:00:00,977.5,-31.83,2.89,-167.5,160.0
2023-01-11 05:00:00,981.5,98.4625,60.01,-41.825,-28.725
2023-01-11 06:00:00,985.5,121.255,94.29,-5.075000000000003,-20.65
2023-01-11 07:00:00,989.5,66.3775,141.99,-60.575,35.699999999999996
2023-01-11 08:00:00,993.5,49.75,145.72,-77.45,69.775
2023-01-11 09:00:00,997.5,141.77,133.22,-70.575,53.175
2023-01-11 10:00:00,1001.5,5.647500000000001,131.12,-138.14999999999998,126.55000000000001
2023-01-11 11:00:00,1005.5,-41.0175,119.16,-67.325,56.775
2023-01-11 12:00:00,1009.5,204.9,110.16,72.55,-87.125
2023-01-11 13:00:00,1013.5,98.1175,115.66,10.675,-31.099999999999998
2023-01-11 14:00:00,1017.5,-14.1475,118.06,-85.075,63.10000000000001
2023-01-11 15:00:00,1021.5,174.63,120.81,3.525,-26.575
2023-01-11 16:00:00,1025.5,117.0525,133.79,-13.375,1.5999999999999996
2023-01-11 17:00:00,1029.5,106.97999999999999,133.87,-5.299999999999999,-7.374999999999998
2023-01-11 18:00:00,1033.5,112.95,130.09,-35.55,34.475
2023-01-11 19:00:00,1037.5,108.74000000000001,117.35,9.774999999999999,-25.800000000000004
2023-01-11 20:00:00,1041.5,174.9125,94.87,117.0,-134.975
2023-01-11 21:00:00,1045.5,156.16500000000002,92.5,15.874999999999998,-32.7
2023-01-11 22:00:00,1049.5,47.545,69.3,-102.175,93.175
2023-01-11 23:00:00,1053.5,-41.11,28.92,-118.025,117.575
2023-01-12 00:00:00,1057.5,-71.8325,8.4,-116.15,112.525
2023-01-12 01:00:00,1061.5,41.465,6.74,-118.475,108.625
2023-01-12 02:00:00,1065.5,-99.215,1.35,-267.65,282.825
2023-01-12 03:00:00,1069.5,68.93749999999999,3.72,-103.625,52.275
2023-01-12 04:00:00,1073.5,253.73250000000002,26.51,114.97500000000001,-142.8
2023-01-12 05:00:00,1077.5,282.4325,87.33,147.55,-208.4
2023-01-12 06:00:00,1081.5,213.79500000000002,115.35,30.075,-93.825
2023-01-12 07:00:00,1085.5,59.027499999999996,119.43,-37.475,19.65
2023-01-12 08:00:00,1089.5,-12.9075,119.49,-57.7,46.75
2023-01-12 09:00:00,1093.5,237.22,102.84,80.875,-93.55
2023-01-12 10:00:00,1097.5,207.335,99.46,74.325,-92.75
2023-01-12 11:00:00,1101.5,90.2475,90.47,-68.325,53.9
2023-01-12 12:00:00,1105.5,61.3225,92.4,-103.92500000000001,74.19999999999999
2023-01-12 13:00:00,1109.5,6.077500000000001,100.0,-229.775,203.10000000000002
2023-01-12 14:00:00,1113.5,29.034999999999997,101.47,-185.525,164.125
2023-01-12 15:00:00,1117.5,182.095,101.91,-26.800000000000004,2.0000000000000027
2023-01-12 16:00:00,1121.5,237.7375,122.21,125.52499999999999,-148.85
2023-01-12 17:00:00,1125.5,190.65,137.37,2.3750000000000018,-15.45
2023-01-12 18:00:00,1129.5,193.5025,118.9,-27.549999999999997,6.050000000000001
2023-01-12 19:00:00,1133.5,171.2125,114.96,20.95,-29.375
2023-01-12 20:00:00,1137.5,101.355,86.57,31.400000000000002,-28.675
2023-01-12 21:00:00,1141.5,105.54,74.51,-30.15,8.125
2023-01-12 22:00:00,1145.5,14.614999999999997,42.35,-120.775,125.75
2023-01-12 23:00:00,1149.5,-13.707499999999998,33.81,-62.875,60.025
2023-01-13 00:00:00,1153.5,61.879999999999995,18.81,-29.924999999999997,2.825000000000003
2023-01-13 01:00:00,1157.5,47.4825,11.92,-15.550000000000004,-8.075000000000003
2023-01-13 02:00:00,1161.5,35.495,2.75,13.05,-17.725
2023-01-13 03:00:00,1165.5,148.55,3.44,124.05000000000001,-139.85
2023-01-13 04:00:00,1169.5,66.1825,25.86,19.45,-42.3
2023-01-13 05:00:00,1173.5,131.865,55.87,101.6,-137.375
2023-01-13 06:00:00,1177.5,135.39,89.58,38.55,-89.05000000000001
2023-01-13 07:00:00,1181.5,143.8175,109.99,-18.775000000000002,-8.25
2023-01-13 08:00:00,1185.5,199.7275,104.9,39.7,-92.025
2023-01-13 09:00:00,1189.5,182.18,96.91,71.85,-93.8
2023-01-13 10:00:00,1193.5,214.5725,88.63,107.075,-153.0
2023-01-13 11:00:00,1197.5,275.68,78.88,129.1,-150.3
2023-01-13 12:00:00,1201.5,171.95,72.17,25.7,-50.675
2023-01-13 13:00:00,1205.5,95.13250000000001,75.11,-24.5,2.325000000000001
2023-01-13 14:00:00,1209.5,130.75,81.5,24.5,-44.875
2023-01-13 15:00:00,1213.5,129.21,87.58,-7.2749999999999995,-16.475
2023-01-13 16:00:00,1217.5,77.23249999999999,118.77,-33.6,12.524999999999999
2023-01-13 17:00:00,1221.5,136.7475,133.8,18.1,-37.25
2023-01-13 18:00:00,1225.5,190.105,128.61,42.599999999999994,-71.2
2023-01-13 19:00:00,1229.5,69.3575,119.07,-39.225,58.724999999999994
2023-01-13 20:00:00,1233.5,96.0975,116.51,-47.575,63.25
2023-01-13 21:00:00,1237.5,72.85,124.06,-35.5,6.0
2023-01-13 22:00:00,1241.5,-76.28999999999999,93.28,-59.025,80.725
2023-01-13 23:00:00,1245.5,169.1475,76.0,140.925,-170.05
2023-01-14 00:00:00,1249.5,173.975,74.48,58.349999999999994,-100.9
2023-01-14 01:00:00,1253.5,225.0925,68.26,65.175,-115.67500000000001
